city,genre,year,decade,id,title,release_date,net,budget,revenue,vote_average
San Francisco,Comedy,2001,2000,tt0209475,The Wedding Planner,2001-01-26,59728529,35000000,94728529,5.8
San Francisco,Romance,2001,2000,tt0209475,The Wedding Planner,2001-01-26,59728529,35000000,94728529,5.8
San Francisco,Comedy,1999,1990,tt0120596,The Bachelor,1999-11-05,-14088383,51000000,36911617,4.9
San Francisco,Romance,1999,1990,tt0120596,The Bachelor,1999-11-05,-14088383,51000000,36911617,4.9
San Francisco,Mystery,1991,1990,tt0102900,Shattered,1991-10-11,-10488969,22000000,11511031,6.5
San Francisco,Thriller,1991,1990,tt0102900,Shattered,1991-10-11,-10488969,22000000,11511031,6.5
San Francisco,Action,2000,2000,tt0165929,Romeo Must Die,2000-03-20,66036760,25000000,91036760,6.0
San Francisco,Crime,2000,2000,tt0165929,Romeo Must Die,2000-03-20,66036760,25000000,91036760,6.0
San Francisco,Thriller,2000,2000,tt0165929,Romeo Must Die,2000-03-20,66036760,25000000,91036760,6.0
San Francisco,Comedy,1999,1990,tt0182789,Bicentennial Man,1999-12-17,-100000000,100000000,0,7.2
San Francisco,Science Fiction,1999,1990,tt0182789,Bicentennial Man,1999-12-17,-100000000,100000000,0,7.2
San Francisco,Drama,1999,1990,tt0182789,Bicentennial Man,1999-12-17,-100000000,100000000,0,7.2
San Francisco,Comedy,1992,1990,tt0105435,Sneakers,1992-09-09,105232691,0,105232691,6.9
San Francisco,Crime,1992,1990,tt0105435,Sneakers,1992-09-09,105232691,0,105232691,6.9
San Francisco,Drama,1992,1990,tt0105435,Sneakers,1992-09-09,105232691,0,105232691,6.9
San Francisco,Action,1987,1980,tt0093260,Innerspace,1987-06-30,-1106190,27000000,25893810,6.8
San Francisco,Comedy,1987,1980,tt0093260,Innerspace,1987-06-30,-1106190,27000000,25893810,6.8
San Francisco,Science Fiction,1987,1980,tt0093260,Innerspace,1987-06-30,-1106190,27000000,25893810,6.8
San Francisco,Drama,1997,1990,tt0119174,The Game,1997-09-12,59423648,50000000,109423648,7.6
San Francisco,Thriller,1997,1990,tt0119174,The Game,1997-09-12,59423648,50000000,109423648,7.6
San Francisco,Mystery,1997,1990,tt0119174,The Game,1997-09-12,59423648,50000000,109423648,7.6
San Francisco,Comedy,1992,1990,tt0104850,Memoirs of an Invisible Man,1992-02-28,-25641967,40000000,14358033,6.0
San Francisco,Fantasy,1992,1990,tt0104850,Memoirs of an Invisible Man,1992-02-28,-25641967,40000000,14358033,6.0
San Francisco,Science Fiction,1992,1990,tt0104850,Memoirs of an Invisible Man,1992-02-28,-25641967,40000000,14358033,6.0
San Francisco,Comedy,2002,2000,tt0243736,40 Days and 40 Nights,2002-03-01,-17000000,17000000,0,5.3
San Francisco,Romance,2002,2000,tt0243736,40 Days and 40 Nights,2002-03-01,-17000000,17000000,0,5.3
San Francisco,Thriller,1990,1990,tt0100318,Pacific Heights,1990-09-28,29381956,0,29381956,6.2
San Francisco,Comedy,1998,1990,tt0118998,Doctor Dolittle,1998-06-22,223456605,71000000,294456605,5.6
San Francisco,Family,1998,1990,tt0118998,Doctor Dolittle,1998-06-22,223456605,71000000,294456605,5.6
San Francisco,Fantasy,1998,1990,tt0118998,Doctor Dolittle,1998-06-22,223456605,71000000,294456605,5.6
San Francisco,Drama,1992,1990,tt0104265,Final Analysis,1992-02-07,28590665,0,28590665,5.7
San Francisco,Thriller,1992,1990,tt0104265,Final Analysis,1992-02-07,28590665,0,28590665,5.7
San Francisco,Romance,1992,1990,tt0104265,Final Analysis,1992-02-07,28590665,0,28590665,5.7
San Francisco,Comedy,1976,1970,tt0074512,Family Plot,1976-04-09,5900000,2000000,7900000,6.9
San Francisco,Crime,1976,1970,tt0074512,Family Plot,1976-04-09,5900000,2000000,7900000,6.9
San Francisco,Thriller,1976,1970,tt0074512,Family Plot,1976-04-09,5900000,2000000,7900000,6.9
San Francisco,Action,1974,1970,tt0072308,The Towering Inferno,1974-12-14,102000000,14000000,116000000,7.1
San Francisco,Thriller,1974,1970,tt0072308,The Towering Inferno,1974-12-14,102000000,14000000,116000000,7.1
San Francisco,Drama,1974,1970,tt0072308,The Towering Inferno,1974-12-14,102000000,14000000,116000000,7.1
San Francisco,Music,1993,1990,tt0108147,Sister Act 2: Back in the Habit,1993-12-09,19319029,38000000,57319029,6.3
San Francisco,Comedy,1993,1990,tt0108147,Sister Act 2: Back in the Habit,1993-12-09,19319029,38000000,57319029,6.3
San Francisco,Comedy,1994,1990,tt0110216,Junior,1994-11-22,48431355,60000000,108431355,5.0
San Francisco,Family,1994,1990,tt0110216,Junior,1994-11-22,48431355,60000000,108431355,5.0
San Francisco,Romance,1994,1990,tt0110216,Junior,1994-11-22,48431355,60000000,108431355,5.0
San Francisco,Drama,1956,1950,tt0049833,The Ten Commandments,1956-10-05,109700000,13000000,122700000,7.7
San Francisco,History,1956,1950,tt0049833,The Ten Commandments,1956-10-05,109700000,13000000,122700000,7.7
San Francisco,Action,1986,1980,tt0090728,Big Trouble in Little China,1986-05-30,-14000000,25000000,11000000,7.2
San Francisco,Adventure,1986,1980,tt0090728,Big Trouble in Little China,1986-05-30,-14000000,25000000,11000000,7.2
San Francisco,Comedy,1986,1980,tt0090728,Big Trouble in Little China,1986-05-30,-14000000,25000000,11000000,7.2
San Francisco,Fantasy,1986,1980,tt0090728,Big Trouble in Little China,1986-05-30,-14000000,25000000,11000000,7.2
San Francisco,Comedy,1996,1990,tt0116669,Jack,1996-08-09,13620973,45000000,58620973,6.2
San Francisco,Drama,1996,1990,tt0116669,Jack,1996-08-09,13620973,45000000,58620973,6.2
San Francisco,Science Fiction,1996,1990,tt0116669,Jack,1996-08-09,13620973,45000000,58620973,6.2
San Francisco,Action,1997,1990,tt0119664,Metro,1997-01-16,-23012437,55000000,31987563,5.6
San Francisco,Adventure,1997,1990,tt0119664,Metro,1997-01-16,-23012437,55000000,31987563,5.6
San Francisco,Comedy,1997,1990,tt0119664,Metro,1997-01-16,-23012437,55000000,31987563,5.6
San Francisco,Crime,1997,1990,tt0119664,Metro,1997-01-16,-23012437,55000000,31987563,5.6
